Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
D1,13/08/99,Duisburg,Leverkusen,0,0,D,0,0,D,1999-00
D1,13/08/99,Wolfsburg,Munich 1860,2,1,H,0,1,A,1999-00
D1,14/08/99,Bayern Munich,Hamburg,2,2,D,1,1,D,1999-00
D1,14/08/99,Ein Frankfurt,Unterhaching,3,0,H,1,0,H,1999-00
D1,14/08/99,Kaiserslautern,Dortmund,1,0,H,0,0,D,1999-00
D1,14/08/99,Schalke 04,Bielefeld,1,1,D,1,0,H,1999-00
D1,14/08/99,Stuttgart,Werder Bremen,0,0,D,0,0,D,1999-00
D1,15/08/99,Hertha,Hansa Rostock,5,2,H,2,1,H,1999-00
D1,15/08/99,Ulm,Freiburg,1,1,D,0,1,A,1999-00
D1,20/08/99,Bielefeld,Hertha,1,1,D,0,0,D,1999-00
D1,20/08/99,Unterhaching,Duisburg,2,0,H,0,0,D,1999-00
D1,21/08/99,Dortmund,Wolfsburg,2,1,H,0,0,D,1999-00
D1,21/08/99,Freiburg,Ein Frankfurt,2,3,A,1,0,H,1999-00
D1,21/08/99,Hamburg,Stuttgart,3,0,H,1,0,H,1999-00
D1,21/08/99,Munich 1860,Ulm,4,1,H,4,1,H,1999-00
D1,21/08/99,Werder Bremen,Schalke 04,0,1,A,0,0,D,1999-00
D1,22/08/99,Hansa Rostock,Kaiserslautern,4,2,H,4,2,H,1999-00
D1,22/08/99,Leverkusen,Bayern Munich,2,0,H,0,0,D,1999-00
D1,27/08/99,Kaiserslautern,Bielefeld,0,2,A,0,0,D,1999-00
D1,27/08/99,Schalke 04,Hamburg,1,3,A,1,1,D,1999-00
D1,28/08/99,Bayern Munich,Unterhaching,1,0,H,1,0,H,1999-00
D1,28/08/99,Freiburg,Munich 1860,3,0,H,1,0,H,1999-00
D1,28/08/99,Hertha,Werder Bremen,1,1,D,1,0,H,1999-00
D1,28/08/99,Stuttgart,Leverkusen,1,2,A,1,1,D,1999-00
D1,28/08/99,Wolfsburg,Hansa Rostock,2,0,H,2,0,H,1999-00
D1,29/08/99,Ein Frankfurt,Duisburg,2,2,D,1,1,D,1999-00
D1,29/08/99,Ulm,Dortmund,0,1,A,0,1,A,1999-00
D1,10/9/1999,Bielefeld,Wolfsburg,0,0,D,0,0,D,1999-00
D1,10/9/1999,Hansa Rostock,Ulm,2,1,H,1,0,H,1999-00
D1,11/9/1999,Dortmund,Freiburg,1,1,D,0,1,A,1999-00
D1,11/9/1999,Duisburg,Bayern Munich,1,2,A,0,2,A,1999-00
D1,11/9/1999,Hamburg,Hertha,5,1,H,3,0,H,1999-00
D1,11/9/1999,Leverkusen,Schalke 04,3,2,H,0,1,A,1999-00
D1,11/9/1999,Unterhaching,Stuttgart,2,0,H,1,0,H,1999-00
D1,12/9/1999,Munich 1860,Ein Frankfurt,2,0,H,1,0,H,1999-00
D1,12/9/1999,Werder Bremen,Kaiserslautern,5,0,H,2,0,H,1999-00
D1,17/09/99,Freiburg,Hansa Rostock,5,0,H,4,0,H,1999-00
D1,17/09/99,Munich 1860,Dortmund,0,3,A,0,2,A,1999-00
D1,18/09/99,Ein Frankfurt,Bayern Munich,1,2,A,1,0,H,1999-00
D1,18/09/99,Hertha,Leverkusen,0,0,D,0,0,D,1999-00
D1,18/09/99,Schalke 04,Unterhaching,1,0,H,0,0,D,1999-00
D1,18/09/99,Stuttgart,Duisburg,4,2,H,2,1,H,1999-00
D1,18/09/99,Ulm,Bielefeld,2,0,H,2,0,H,1999-00
D1,19/09/99,Kaiserslautern,Hamburg,2,0,H,2,0,H,1999-00
D1,19/09/99,Wolfsburg,Werder Bremen,2,7,A,2,3,A,1999-00
D1,24/09/99,Bayern Munich,Stuttgart,0,1,A,0,0,D,1999-00
D1,24/09/99,Hamburg,Wolfsburg,2,2,D,1,1,D,1999-00
D1,25/09/99,Dortmund,Ein Frankfurt,1,0,H,1,0,H,1999-00
D1,25/09/99,Duisburg,Schalke 04,1,1,D,0,0,D,1999-00
D1,25/09/99,Hansa Rostock,Munich 1860,0,0,D,0,0,D,1999-00
D1,25/09/99,Unterhaching,Hertha,1,1,D,0,1,A,1999-00
D1,25/09/99,Werder Bremen,Ulm,2,2,D,1,0,H,1999-00
D1,26/09/99,Bielefeld,Freiburg,2,1,H,0,1,A,1999-00
D1,26/09/99,Leverkusen,Kaiserslautern,3,1,H,0,1,A,1999-00
D1,1/10/1999,Ein Frankfurt,Stuttgart,0,1,A,0,0,D,1999-00
D1,1/10/1999,Munich 1860,Bielefeld,5,0,H,1,0,H,1999-00
D1,2/10/1999,Dortmund,Hansa Rostock,3,0,H,0,0,D,1999-00
D1,2/10/1999,Hertha,Duisburg,2,1,H,0,0,D,1999-00
D1,2/10/1999,Schalke 04,Bayern Munich,1,1,D,0,0,D,1999-00
D1,2/10/1999,Ulm,Hamburg,1,2,A,0,0,D,1999-00
D1,2/10/1999,Wolfsburg,Leverkusen,3,1,H,1,0,H,1999-00
D1,3/10/1999,Freiburg,Werder Bremen,2,1,H,1,0,H,1999-00
D1,3/10/1999,Kaiserslautern,Unterhaching,4,2,H,1,1,D,1999-00
D1,15/10/99,Bielefeld,Dortmund,0,2,A,0,0,D,1999-00
D1,15/10/99,Leverkusen,Ulm,4,1,H,3,0,H,1999-00
D1,16/10/99,Bayern Munich,Hertha,3,1,H,2,0,H,1999-00
D1,16/10/99,Duisburg,Kaiserslautern,2,2,D,0,2,A,1999-00
D1,16/10/99,Hamburg,Freiburg,2,0,H,1,0,H,1999-00
D1,16/10/99,Hansa Rostock,Ein Frankfurt,3,1,H,1,0,H,1999-00
D1,16/10/99,Werder Bremen,Munich 1860,1,3,A,0,1,A,1999-00
D1,17/10/99,Stuttgart,Schalke 04,0,2,A,0,0,D,1999-00
D1,17/10/99,Unterhaching,Wolfsburg,1,1,D,0,0,D,1999-00
D1,22/10/99,Ein Frankfurt,Schalke 04,0,2,A,0,0,D,1999-00
D1,22/10/99,Hansa Rostock,Bielefeld,2,1,H,1,0,H,1999-00
D1,23/10/99,Freiburg,Leverkusen,0,0,D,0,0,D,1999-00
D1,23/10/99,Hertha,Stuttgart,1,1,D,1,0,H,1999-00
D1,23/10/99,Kaiserslautern,Bayern Munich,0,2,A,0,0,D,1999-00
D1,23/10/99,Munich 1860,Hamburg,0,0,D,0,0,D,1999-00
D1,23/10/99,Ulm,Unterhaching,1,0,H,1,0,H,1999-00
D1,24/10/99,Dortmund,Werder Bremen,1,3,A,0,2,A,1999-00
D1,24/10/99,Wolfsburg,Duisburg,1,0,H,0,0,D,1999-00
D1,29/10/99,Bielefeld,Ein Frankfurt,1,1,D,0,0,D,1999-00
D1,29/10/99,Werder Bremen,Hansa Rostock,2,1,H,1,0,H,1999-00
D1,30/10/99,Bayern Munich,Wolfsburg,5,0,H,3,0,H,1999-00
D1,30/10/99,Duisburg,Ulm,0,0,D,0,0,D,1999-00
D1,30/10/99,Hamburg,Dortmund,1,1,D,0,0,D,1999-00
D1,30/10/99,Leverkusen,Munich 1860,1,1,D,0,0,D,1999-00
D1,30/10/99,Schalke 04,Hertha,1,1,D,1,1,D,1999-00
D1,31/10/99,Stuttgart,Kaiserslautern,0,1,A,0,1,A,1999-00
D1,31/10/99,Unterhaching,Freiburg,1,0,H,0,0,D,1999-00
D1,5/11/1999,Freiburg,Duisburg,3,0,H,2,0,H,1999-00
D1,5/11/1999,Hansa Rostock,Hamburg,3,3,D,2,1,H,1999-00
D1,6/11/1999,Dortmund,Leverkusen,1,1,D,1,1,D,1999-00
D1,6/11/1999,Ein Frankfurt,Hertha,4,0,H,3,0,H,1999-00
D1,6/11/1999,Munich 1860,Unterhaching,2,1,H,1,0,H,1999-00
D1,6/11/1999,Ulm,Bayern Munich,0,1,A,0,1,A,1999-00
D1,6/11/1999,Wolfsburg,Stuttgart,0,2,A,0,1,A,1999-00
D1,7/11/1999,Bielefeld,Werder Bremen,2,2,D,1,0,H,1999-00
D1,7/11/1999,Kaiserslautern,Schalke 04,2,1,H,0,1,A,1999-00
D1,19/11/99,Werder Bremen,Ein Frankfurt,3,1,H,1,1,D,1999-00
D1,20/11/99,Bayern Munich,Freiburg,6,1,H,3,1,H,1999-00
