,Season,HomeTeam,AwayTeam,FTHG,FTAG,Score,Winner,Loser,FTR
0,1999/00,Bordeaux,Bastia,3,2,5,Bordeaux,Bastia,H
1,1999/00,Monaco,St Etienne,2,2,4,Draw,Draw,D
2,1999/00,Auxerre,Nancy,2,1,3,Auxerre,Nancy,H
3,1999/00,Lyon,Montpellier,1,2,3,Montpellier,Lyon,A
4,1999/00,Marseille,Sedan,3,0,3,Marseille,Sedan,H
5,1999/00,Metz,Rennes,0,0,0,Draw,Draw,D
6,1999/00,Nantes,Le Havre,1,0,1,Nantes,Le Havre,H
7,1999/00,Paris SG,Troyes,1,0,1,Paris SG,Troyes,H
8,1999/00,Strasbourg,Lens,1,0,1,Strasbourg,Lens,H
9,1999/00,Le Havre,Marseille,0,0,0,Draw,Draw,D
10,1999/00,Troyes,Lyon,1,2,3,Lyon,Troyes,A
11,1999/00,Bastia,Strasbourg,3,0,3,Bastia,Strasbourg,H
12,1999/00,Lens,Monaco,1,0,1,Lens,Monaco,H
13,1999/00,Sedan,Nancy,3,1,4,Sedan,Nancy,H
14,1999/00,St Etienne,Nantes,0,2,2,Nantes,St Etienne,A
15,1999/00,Metz,Auxerre,3,0,3,Metz,Auxerre,H
16,1999/00,Montpellier,Bordeaux,2,2,4,Draw,Draw,D
17,1999/00,Rennes,Paris SG,1,3,4,Paris SG,Rennes,A
18,1999/00,Auxerre,Sedan,3,1,4,Auxerre,Sedan,H
19,1999/00,Bordeaux,Troyes,4,0,4,Bordeaux,Troyes,H
20,1999/00,Monaco,Bastia,4,0,4,Monaco,Bastia,H
21,1999/00,Nancy,Le Havre,3,0,3,Nancy,Le Havre,H
22,1999/00,Nantes,Lens,0,1,1,Lens,Nantes,A
23,1999/00,Paris SG,Metz,2,1,3,Paris SG,Metz,H
24,1999/00,Strasbourg,Montpellier,2,0,2,Strasbourg,Montpellier,H
25,1999/00,Lyon,Rennes,2,2,4,Draw,Draw,D
26,1999/00,Marseille,St Etienne,3,3,6,Draw,Draw,D
27,1999/00,Le Havre,Sedan,2,1,3,Le Havre,Sedan,H
28,1999/00,Metz,Lyon,0,1,1,Lyon,Metz,A
29,1999/00,Montpellier,Monaco,2,3,5,Monaco,Montpellier,A
30,1999/00,Paris SG,Auxerre,1,1,2,Draw,Draw,D
31,1999/00,Rennes,Bordeaux,2,1,3,Rennes,Bordeaux,H
32,1999/00,St Etienne,Nancy,2,1,3,St Etienne,Nancy,H
33,1999/00,Troyes,Strasbourg,2,1,3,Troyes,Strasbourg,H
34,1999/00,Bastia,Nantes,2,1,3,Bastia,Nantes,H
35,1999/00,Lens,Marseille,0,0,0,Draw,Draw,D
36,1999/00,Auxerre,Le Havre,2,1,3,Auxerre,Le Havre,H
37,1999/00,Bordeaux,Metz,0,0,0,Draw,Draw,D
38,1999/00,Marseille,Bastia,1,1,2,Draw,Draw,D
39,1999/00,Nancy,Lens,2,1,3,Nancy,Lens,H
40,1999/00,Nantes,Montpellier,3,0,3,Nantes,Montpellier,H
41,1999/00,Sedan,St Etienne,3,2,5,Sedan,St Etienne,H
42,1999/00,Strasbourg,Rennes,2,1,3,Strasbourg,Rennes,H
43,1999/00,Lyon,Paris SG,1,0,1,Lyon,Paris SG,H
44,1999/00,Monaco,Troyes,3,0,3,Monaco,Troyes,H
45,1999/00,Bastia,Nancy,1,1,2,Draw,Draw,D
46,1999/00,Lens,Sedan,0,3,3,Sedan,Lens,A
47,1999/00,Lyon,Auxerre,0,0,0,Draw,Draw,D
48,1999/00,Metz,Strasbourg,0,0,0,Draw,Draw,D
49,1999/00,Montpellier,Marseille,3,1,4,Montpellier,Marseille,H
50,1999/00,St Etienne,Le Havre,3,3,6,Draw,Draw,D
51,1999/00,Troyes,Nantes,1,0,1,Troyes,Nantes,H
52,1999/00,Paris SG,Bordeaux,2,1,3,Paris SG,Bordeaux,H
53,1999/00,Rennes,Monaco,2,1,3,Rennes,Monaco,H
54,1999/00,Auxerre,St Etienne,2,1,3,Auxerre,St Etienne,H
55,1999/00,Bordeaux,Lyon,1,3,4,Lyon,Bordeaux,A
56,1999/00,Le Havre,Lens,1,1,2,Draw,Draw,D
57,1999/00,Marseille,Troyes,1,0,1,Marseille,Troyes,H
58,1999/00,Monaco,Metz,2,2,4,Draw,Draw,D
59,1999/00,Nancy,Montpellier,1,2,3,Montpellier,Nancy,A
60,1999/00,Nantes,Rennes,3,0,3,Nantes,Rennes,H
61,1999/00,Sedan,Bastia,2,0,2,Sedan,Bastia,H
62,1999/00,Strasbourg,Paris SG,1,1,2,Draw,Draw,D
63,1999/00,Bastia,Le Havre,1,1,2,Draw,Draw,D
64,1999/00,Bordeaux,Auxerre,1,0,1,Bordeaux,Auxerre,H
65,1999/00,Lyon,Strasbourg,0,0,0,Draw,Draw,D
66,1999/00,Metz,Nantes,2,1,3,Metz,Nantes,H
67,1999/00,Montpellier,Sedan,1,1,2,Draw,Draw,D
68,1999/00,Paris SG,Monaco,0,3,3,Monaco,Paris SG,A
69,1999/00,Troyes,Nancy,2,0,2,Troyes,Nancy,H
70,1999/00,Lens,St Etienne,0,2,2,St Etienne,Lens,A
71,1999/00,Rennes,Marseille,1,2,3,Marseille,Rennes,A
72,1999/00,Le Havre,Montpellier,2,1,3,Le Havre,Montpellier,H
73,1999/00,Marseille,Metz,1,1,2,Draw,Draw,D
74,1999/00,Nancy,Rennes,3,0,3,Nancy,Rennes,H
75,1999/00,Sedan,Troyes,2,1,3,Sedan,Troyes,H
76,1999/00,St Etienne,Bastia,1,1,2,Draw,Draw,D
77,1999/00,Strasbourg,Bordeaux,2,2,4,Draw,Draw,D
78,1999/00,Auxerre,Lens,3,2,5,Auxerre,Lens,H
79,1999/00,Monaco,Lyon,1,0,1,Monaco,Lyon,H
80,1999/00,Nantes,Paris SG,0,4,4,Paris SG,Nantes,A
81,1999/00,Lyon,Nantes,2,0,2,Lyon,Nantes,H
82,1999/00,Paris SG,Marseille,0,2,2,Marseille,Paris SG,A
83,1999/00,Bastia,Lens,2,0,2,Bastia,Lens,H
84,1999/00,Bordeaux,Monaco,3,2,5,Bordeaux,Monaco,H
85,1999/00,Metz,Nancy,2,2,4,Draw,Draw,D
86,1999/00,Montpellier,St Etienne,0,1,1,St Etienne,Montpellier,A
87,1999/00,Rennes,Sedan,5,0,5,Rennes,Sedan,H
88,1999/00,Strasbourg,Auxerre,1,3,4,Auxerre,Strasbourg,A
89,1999/00,Troyes,Le Havre,3,1,4,Troyes,Le Havre,H
90,1999/00,Marseille,Lyon,0,1,1,Lyon,Marseille,A
91,1999/00,Auxerre,Bastia,3,1,4,Auxerre,Bastia,H
92,1999/00,Le Havre,Rennes,0,1,1,Rennes,Le Havre,A
93,1999/00,Lens,Montpellier,1,0,1,Lens,Montpellier,H
94,1999/00,Monaco,Strasbourg,3,0,3,Monaco,Strasbourg,H
95,1999/00,Nancy,Paris SG,1,1,2,Draw,Draw,D
96,1999/00,Nantes,Bordeaux,0,1,1,Bordeaux,Nantes,A
97,1999/00,St Etienne,Troyes,1,0,1,St Etienne,Troyes,H
98,1999/00,Sedan,Metz,0,2,2,Metz,Sedan,A
99,1999/00,Nantes,Monaco,0,3,3,Monaco,Nantes,A
100,1999/00,Sedan,Lyon,2,0,2,Sedan,Lyon,H
101,1999/00,Bordeaux,Marseille,2,1,3,Bordeaux,Marseille,H
102,1999/00,Rennes,St Etienne,4,1,5,Rennes,St Etienne,H
103,1999/00,Lyon,Nancy,2,1,3,Lyon,Nancy,H
104,1999/00,Metz,Le Havre,3,0,3,Metz,Le Havre,H
105,1999/00,Montpellier,Bastia,1,1,2,Draw,Draw,D
106,1999/00,Paris SG,Sedan,3,2,5,Paris SG,Sedan,H
107,1999/00,Strasbourg,Nantes,3,2,5,Strasbourg,Nantes,H
108,1999/00,Troyes,Lens,0,1,1,Lens,Troyes,A
109,1999/00,Auxerre,Montpellier,2,1,3,Auxerre,Montpellier,H
110,1999/00,Bastia,Troyes,5,0,5,Bastia,Troyes,H
111,1999/00,Le Havre,Paris SG,3,1,4,Le Havre,Paris SG,H
112,1999/00,Marseille,Strasbourg,4,1,5,Marseille,Strasbourg,H
113,1999/00,Nancy,Bordeaux,2,2,4,Draw,Draw,D
114,1999/00,St Etienne,Metz,2,0,2,St Etienne,Metz,H
115,1999/00,Lens,Rennes,1,1,2,Draw,Draw,D
116,1999/00,Bordeaux,Sedan,1,1,2,Draw,Draw,D
117,1999/00,Paris SG,St Etienne,2,0,2,Paris SG,St Etienne,H
118,1999/00,Rennes,Bastia,0,0,0,Draw,Draw,D
119,1999/00,Strasbourg,Nancy,0,2,2,Nancy,Strasbourg,A
120,1999/00,Lyon,Le Havre,3,0,3,Lyon,Le Havre,H
121,1999/00,Metz,Lens,0,0,0,Draw,Draw,D
122,1999/00,Monaco,Marseille,1,1,2,Draw,Draw,D
123,1999/00,Nantes,Auxerre,3,1,4,Nantes,Auxerre,H
124,1999/00,Troyes,Montpellier,2,1,3,Troyes,Montpellier,H
125,1999/00,Sedan,Strasbourg,2,1,3,Sedan,Strasbourg,H
126,1999/00,Auxerre,Troyes,0,1,1,Troyes,Auxerre,A
127,1999/00,Bastia,Metz,0,0,0,Draw,Draw,D
128,1999/00,Le Havre,Bordeaux,3,0,3,Le Havre,Bordeaux,H
129,1999/00,Lens,Paris SG,3,2,5,Lens,Paris SG,H
130,1999/00,Marseille,Nantes,1,1,2,Draw,Draw,D
131,1999/00,Montpellier,Rennes,1,2,3,Rennes,Montpellier,A
132,1999/00,Nancy,Monaco,1,2,3,Monaco,Nancy,A
133,1999/00,St Etienne,Lyon,1,1,2,Draw,Draw,D
134,1999/00,Bordeaux,St Etienne,1,2,3,St Etienne,Bordeaux,A
135,1999/00,Metz,Montpellier,2,2,4,Draw,Draw,D
136,1999/00,Paris SG,Bastia,2,0,2,Paris SG,Bastia,H
137,1999/00,Rennes,Troyes,2,2,4,Draw,Draw,D
138,1999/00,Strasbourg,Le Havre,0,1,1,Le Havre,Strasbourg,A
139,1999/00,Lyon,Lens,1,0,1,Lyon,Lens,H
140,1999/00,Marseille,Auxerre,0,1,1,Auxerre,Marseille,A
141,1999/00,Monaco,Sedan,2,1,3,Monaco,Sedan,H
142,1999/00,Nantes,Nancy,2,0,2,Nantes,Nancy,H
143,1999/00,Le Havre,Monaco,1,4,5,Monaco,Le Havre,A
144,1999/00,Montpellier,Paris SG,0,1,1,Paris SG,Montpellier,A
145,1999/00,Nancy,Marseille,2,2,4,Draw,Draw,D
146,1999/00,Rennes,Auxerre,1,0,1,Rennes,Auxerre,H
147,1999/00,St Etienne,Strasbourg,0,1,1,Strasbourg,St Etienne,A
148,1999/00,Troyes,Metz,2,2,4,Draw,Draw,D
149,1999/00,Bastia,Lyon,3,0,3,Bastia,Lyon,H
150,1999/00,Lens,Bordeaux,3,3,6,Draw,Draw,D
151,1999/00,Sedan,Nantes,0,0,0,Draw,Draw,D
152,1999/00,Monaco,Auxerre,2,0,2,Monaco,Auxerre,H
153,1999/00,Bordeaux,Montpellier,2,0,2,Bordeaux,Montpellier,H
154,1999/00,Lyon,Troyes,1,3,4,Troyes,Lyon,A
155,1999/00,Marseille,Le Havre,2,0,2,Marseille,Le Havre,H
156,1999/00,Nancy,Sedan,0,2,2,Sedan,Nancy,A
157,1999/00,Nantes,St Etienne,0,1,1,St Etienne,Nantes,A
158,1999/00,Strasbourg,Bastia,2,0,2,Strasbourg,Bastia,H
159,1999/00,Auxerre,Metz,1,1,2,Draw,Draw,D
160,1999/00,Monaco,Lens,2,0,2,Monaco,Lens,H
161,1999/00,Paris SG,Rennes,1,0,1,Paris SG,Rennes,H
162,1999/00,Le Havre,Nancy,0,1,1,Nancy,Le Havre,A
163,1999/00,Montpellier,Strasbourg,1,1,2,Draw,Draw,D
164,1999/00,Rennes,Lyon,1,2,3,Lyon,Rennes,A
165,1999/00,Sedan,Auxerre,1,1,2,Draw,Draw,D
166,1999/00,Troyes,Bordeaux,2,0,2,Troyes,Bordeaux,H
167,1999/00,Bastia,Monaco,1,0,1,Bastia,Monaco,H
168,1999/00,Metz,Paris SG,1,3,4,Paris SG,Metz,A
169,1999/00,St Etienne,Marseille,5,1,6,St Etienne,Marseille,H
170,1999/00,Lens,Nantes,1,2,3,Nantes,Lens,A
171,1999/00,Auxerre,Paris SG,1,0,1,Auxerre,Paris SG,H
172,1999/00,Bordeaux,Rennes,1,0,1,Bordeaux,Rennes,H
173,1999/00,Lyon,Metz,2,0,2,Lyon,Metz,H
174,1999/00,Marseille,Lens,1,2,3,Lens,Marseille,A
175,1999/00,Monaco,Montpellier,1,0,1,Monaco,Montpellier,H
176,1999/00,Nancy,St Etienne,1,0,1,Nancy,St Etienne,H
177,1999/00,Nantes,Bastia,1,1,2,Draw,Draw,D
178,1999/00,Metz,Bordeaux,2,1,3,Metz,Bordeaux,H
179,1999/00,Paris SG,Lyon,2,2,4,Draw,Draw,D
180,1999/00,Bastia,Marseille,0,0,0,Draw,Draw,D
181,1999/00,Le Havre,Auxerre,0,0,0,Draw,Draw,D
182,1999/00,Lens,Nancy,0,1,1,Nancy,Lens,A
183,1999/00,Montpellier,Nantes,3,0,3,Montpellier,Nantes,H
184,1999/00,Rennes,Strasbourg,2,1,3,Rennes,Strasbourg,H
185,1999/00,St Etienne,Sedan,2,3,5,Sedan,St Etienne,A
186,1999/00,Troyes,Monaco,1,4,5,Monaco,Troyes,A
187,1999/00,Auxerre,Lyon,2,0,2,Auxerre,Lyon,H
188,1999/00,Le Havre,St Etienne,1,0,1,Le Havre,St Etienne,H
189,1999/00,Monaco,Rennes,3,1,4,Monaco,Rennes,H
190,1999/00,Nancy,Bastia,1,0,1,Nancy,Bastia,H
191,1999/00,Nantes,Troyes,3,0,3,Nantes,Troyes,H
192,1999/00,Sedan,Lens,0,0,0,Draw,Draw,D
193,1999/00,Strasbourg,Metz,1,1,2,Draw,Draw,D
194,1999/00,Bordeaux,Paris SG,1,1,2,Draw,Draw,D
195,1999/00,Marseille,Montpellier,0,0,0,Draw,Draw,D
196,1999/00,Sedan,Le Havre,0,1,1,Le Havre,Sedan,A
197,1999/00,Strasbourg,Troyes,2,0,2,Strasbourg,Troyes,H
198,1999/00,Metz,Monaco,1,1,2,Draw,Draw,D
199,1999/00,Troyes,Marseille,1,2,3,Marseille,Troyes,A
200,1999/00,Bastia,Sedan,1,0,1,Bastia,Sedan,H
201,1999/00,Lens,Le Havre,4,0,4,Lens,Le Havre,H
202,1999/00,Lyon,Bordeaux,1,1,2,Draw,Draw,D
203,1999/00,Montpellier,Nancy,1,0,1,Montpellier,Nancy,H
204,1999/00,Paris SG,Strasbourg,4,2,6,Paris SG,Strasbourg,H
205,1999/00,Rennes,Nantes,0,0,0,Draw,Draw,D
206,1999/00,St Etienne,Auxerre,0,0,0,Draw,Draw,D
207,1999/00,Auxerre,Bordeaux,1,0,1,Auxerre,Bordeaux,H
208,1999/00,Monaco,Paris SG,1,0,1,Monaco,Paris SG,H
209,1999/00,Le Havre,Bastia,2,2,4,Draw,Draw,D
210,1999/00,Marseille,Rennes,1,1,2,Draw,Draw,D
211,1999/00,Nancy,Troyes,1,2,3,Troyes,Nancy,A
212,1999/00,Nantes,Metz,1,3,4,Metz,Nantes,A
213,1999/00,Sedan,Montpellier,2,1,3,Sedan,Montpellier,H
214,1999/00,St Etienne,Lens,0,2,2,Lens,St Etienne,A
215,1999/00,Strasbourg,Lyon,4,2,6,Strasbourg,Lyon,H
216,1999/00,Bastia,St Etienne,4,0,4,Bastia,St Etienne,H
217,1999/00,Bordeaux,Strasbourg,3,0,3,Bordeaux,Strasbourg,H
218,1999/00,Lens,Auxerre,2,1,3,Lens,Auxerre,H
219,1999/00,Montpellier,Le Havre,0,0,0,Draw,Draw,D
220,1999/00,Paris SG,Nantes,0,0,0,Draw,Draw,D
221,1999/00,Rennes,Nancy,3,1,4,Rennes,Nancy,H
222,1999/00,Troyes,Sedan,0,2,2,Sedan,Troyes,A
223,1999/00,Lyon,Monaco,2,1,3,Lyon,Monaco,H
224,1999/00,Metz,Marseille,2,0,2,Metz,Marseille,H
225,1999/00,Marseille,Paris SG,4,1,5,Marseille,Paris SG,H
226,1999/00,Nantes,Lyon,6,1,7,Nantes,Lyon,H
227,1999/00,Auxerre,Strasbourg,0,1,1,Strasbourg,Auxerre,A
228,1999/00,Le Havre,Troyes,2,0,2,Le Havre,Troyes,H
229,1999/00,Lens,Bastia,4,0,4,Lens,Bastia,H
230,1999/00,Monaco,Bordeaux,1,0,1,Monaco,Bordeaux,H
231,1999/00,Nancy,Metz,0,0,0,Draw,Draw,D
232,1999/00,Sedan,Rennes,2,1,3,Sedan,Rennes,H
233,1999/00,St Etienne,Montpellier,5,4,9,St Etienne,Montpellier,H
234,1999/00,Bastia,Auxerre,2,0,2,Bastia,Auxerre,H
235,1999/00,Bordeaux,Nantes,3,0,3,Bordeaux,Nantes,H
236,1999/00,Lyon,Marseille,2,0,2,Lyon,Marseille,H
237,1999/00,Metz,Sedan,1,1,2,Draw,Draw,D
238,1999/00,Montpellier,Lens,1,1,2,Draw,Draw,D
239,1999/00,Paris SG,Nancy,1,1,2,Draw,Draw,D
240,1999/00,Rennes,Le Havre,2,1,3,Rennes,Le Havre,H
241,1999/00,Troyes,St Etienne,0,1,1,St Etienne,Troyes,A
242,1999/00,Strasbourg,Monaco,3,2,5,Strasbourg,Monaco,H
243,1999/00,Bastia,Montpellier,1,0,1,Bastia,Montpellier,H
244,1999/00,Le Havre,Metz,1,0,1,Le Havre,Metz,H
245,1999/00,Marseille,Bordeaux,0,2,2,Bordeaux,Marseille,A
246,1999/00,Nantes,Strasbourg,3,1,4,Nantes,Strasbourg,H
247,1999/00,Sedan,Paris SG,1,1,2,Draw,Draw,D
248,1999/00,St Etienne,Rennes,1,0,1,St Etienne,Rennes,H
249,1999/00,Auxerre,Monaco,0,2,2,Monaco,Auxerre,A
